#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,dbus," added 8/5/23"
,dbus-glib," added 8/5/23"
,dbus-python," added 8/5/23"
,dconf," added 8/5/23"
,default-cursors," added 8/5/23"
,desktop-file-utils," added 8/5/23"
,device-mapper," added 8/5/23"
,dhcpcd," added 8/5/23"
,dialog," added 8/5/23"
,diffutils," added 8/5/23"
,djvulibre," added 8/5/23"
,dkms," added 8/5/23"
,dmraid," added 8/5/23"
,dnssec-anchors," added 8/5/23"
,dosfstools," added 8/5/23"
,double-conversion," added 8/5/23"
,duktape," added 8/5/23"
,dunst," added 8/5/23"
,dvisvgm," added 8/5/23"
,e2fsprogs," added 8/5/23"
,efibootmgr," added 8/5/23"
,efivar," added 8/5/23"
,enchant," added 8/5/23"
,exfat-utils," added 8/5/23"
,exiv2," added 8/5/23"
,exo," added 8/5/23"
,expat," added 8/5/23"
,extundelete," added 8/5/23"
,facetimehd-firmware," added 8/5/23"
,fakeroot," added 8/5/23"
,fcitx5,"for east asian fonts"
,fcitx5-configtool,"for east asian fonts"
,fcitx5-gtk,"for east asian fonts"
,fcitx5-hangul,"for east asian fonts"
,fcitx5-qt,"for east asian fonts"
,ffcall," added 8/5/23"
,fftw," added 8/5/23"
,file," added 8/5/23"
,filesystem," added 8/5/23"
,findutils," added 8/5/23"
,flac," added 8/5/23"
,flex," added 8/5/23"
,fmt," added 8/5/23"
,fontconfig," added 8/5/23"
,freetype2," added 8/5/23"
,fribidi," added 8/5/23"
,fuse-common," added 8/5/23"
,fuse2," added 8/5/23"
,fuse3," added 8/5/23"
,fzf," added 8/5/23"
,gawk," added 8/5/23"
,gc," added 8/5/23"
,gcc," added 8/5/23"
,gcc-fortran," added 8/5/23"
,gcc-libs," added 8/5/23"
,gcr," added 8/5/23"
,gcr-4," added 8/5/23"
,gd," added 8/5/23"
,gdbm," added 8/5/23"
,gdk-pixbuf2," added 8/5/23"
,gdu," added 8/5/23"
,geoclue," added 8/5/23"
,geocode-glib," added 8/5/23"
,geocode-glib-common," added 8/5/23"
,gettext," added 8/5/23"
,ghc-libs," added 8/5/23"
,ghostscript," added 8/5/23"
,giflib," added 8/5/23"
,girara," added 8/5/23"
,git," added 8/5/23"
,glew," added 8/5/23"
,glib-networking," added 8/5/23"
,glib2," added 8/5/23"
,glibc," added 8/5/23"
,glibmm," added 8/5/23"
,glslang," added 8/5/23"
,glu," added 8/5/23"
,gmime3," added 8/5/23"
,gmp," added 8/5/23"
,gnome-keyring," added 8/5/23"
,gnu-free-fonts," added 8/5/23"
,gnupg," added 8/5/23"
,gnutls," added 8/5/23"
,go," added 8/5/23"
,gobject-introspection-runtime," added 8/5/23"
,gperf," added 8/5/23"
,gperftools," added 8/5/23"
,gpgme," added 8/5/23"
,gpm," added 8/5/23"
,gptfdisk," added 8/5/23"
,graphene," added 8/5/23"
,graphicsmagick," added 8/5/23"
,graphite," added 8/5/23"
,graphviz," added 8/5/23"
,grep," added 8/5/23"
,groff," added 8/5/23"
,grub," added 8/5/23"
,gsasl," added 8/5/23"
,gsettings-desktop-schemas," added 8/5/23"
,gsfonts," added 8/5/23"
,gsl," added 8/5/23"
,gsm," added 8/5/23"
,gspell," added 8/5/23"
,gst-plugins-base," added 8/5/23"
,gst-plugins-base-libs," added 8/5/23"
,gstreamer," added 8/5/23"
,gtest," added 8/5/23"
,gtk-theme-arc-gruvbox-git," added 8/5/23"
,gtk-update-icon-cache," added 8/5/23"
,gtk2," added 8/5/23"
,gtk3," added 8/5/23"
,gtkmm3," added 8/5/23"
,gtksourceview4," added 8/5/23"
,gts," added 8/5/23"
,guile," added 8/5/23"
,gumbo-parser," added 8/5/23"
,gvfs," added 8/5/23"
,gvfs-afc," added 8/5/23"
,gvfs-gphoto2," added 8/5/23"
,gzip," added 8/5/23"
,harfbuzz," added 8/5/23"
,harfbuzz-icu," added 8/5/23"
,haskell-aeson," added 8/5/23"
,haskell-aeson-pretty," added 8/5/23"
,haskell-ansi-terminal," added 8/5/23"
,haskell-ansi-wl-pprint," added 8/5/23"
,haskell-appar," added 8/5/23"
,haskell-asn1-encoding," added 8/5/23"
,haskell-asn1-parse," added 8/5/23"
,haskell-asn1-types," added 8/5/23"
,haskell-assoc," added 8/5/23"
,haskell-async," added 8/5/23"
,haskell-attoparsec," added 8/5/23"
,haskell-attoparsec-iso8601," added 8/5/23"
,haskell-auto-update," added 8/5/23"
,haskell-base-compat," added 8/5/23"
,haskell-base-compat-batteries," added 8/5/23"
,haskell-base-orphans," added 8/5/23"
,haskell-base-unicode-symbols," added 8/5/23"
,haskell-base16-bytestring," added 8/5/23"
,haskell-base64," added 8/5/23"
,haskell-base64-bytestring," added 8/5/23"
,haskell-basement," added 8/5/23"
,haskell-bifunctors," added 8/5/23"
,haskell-bitvec," added 8/5/23"
,haskell-blaze-builder," added 8/5/23"
,haskell-blaze-html," added 8/5/23"
,haskell-blaze-markup," added 8/5/23"
,haskell-boring," added 8/5/23"
,haskell-bsb-http-chunked," added 8/5/23"
,haskell-byteable," added 8/5/23"
,haskell-byteorder," added 8/5/23"
,haskell-call-stack," added 8/5/23"
,haskell-case-insensitive," added 8/5/23"
,haskell-cereal," added 8/5/23"
,haskell-citeproc," added 8/5/23"
,haskell-cmdargs," added 8/5/23"
,haskell-colour," added 8/5/23"
,haskell-commonmark," added 8/5/23"
,haskell-commonmark-extensions," added 8/5/23"
,haskell-commonmark-pandoc," added 8/5/23"
,haskell-comonad," added 8/5/23"
,haskell-conduit," added 8/5/23"
,haskell-conduit-extra," added 8/5/23"
,haskell-connection," added 8/5/23"
,haskell-constraints," added 8/5/23"
,haskell-contravariant," added 8/5/23"
,haskell-cookie," added 8/5/23"
,haskell-crypton," added 8/5/23"
,haskell-crypton-connection," added 8/5/23"
,haskell-crypton-x509," added 8/5/23"
,haskell-crypton-x509-store," added 8/5/23"
,haskell-crypton-x509-system," added 8/5/23"
,haskell-crypton-x509-validation," added 8/5/23"
,haskell-cryptonite," added 8/5/23"
,haskell-data-array-byte," added 8/5/23"
,haskell-data-default," added 8/5/23"
,haskell-data-default-class," added 8/5/23"
,haskell-data-default-instances-containers," added 8/5/23"
,haskell-data-default-instances-dlist," added 8/5/23"
,haskell-data-default-instances-old-locale," added 8/5/23"
,haskell-data-fix," added 8/5/23"
,haskell-dec," added 8/5/23"
,haskell-digest," added 8/5/23"
,haskell-distributive," added 8/5/23"
,haskell-dlist," added 8/5/23"
,haskell-doclayout," added 8/5/23"
,haskell-doctemplates," added 8/5/23"
,haskell-easy-file," added 8/5/23"
,haskell-emojis," added 8/5/23"
,haskell-erf," added 8/5/23"
,haskell-fast-logger," added 8/5/23"
,haskell-file-embed," added 8/5/23"
,haskell-generically," added 8/5/23"
,haskell-ghc-bignum-orphans," added 8/5/23"
,haskell-glob," added 8/5/23"
,haskell-gridtables," added 8/5/23"
,haskell-haddock-library," added 8/5/23"
,haskell-hashable," added 8/5/23"
,haskell-hourglass," added 8/5/23"
,haskell-hslua," added 8/5/23"
,haskell-hslua-aeson," added 8/5/23"
,haskell-hslua-classes," added 8/5/23"
,haskell-hslua-core," added 8/5/23"
,haskell-hslua-list," added 8/5/23"
,haskell-hslua-marshalling," added 8/5/23"
,haskell-hslua-module-doclayout," added 8/5/23"
,haskell-hslua-module-path," added 8/5/23"
,haskell-hslua-module-system," added 8/5/23"
,haskell-hslua-module-text," added 8/5/23"
,haskell-hslua-module-version," added 8/5/23"
,haskell-hslua-module-zip," added 8/5/23"
,haskell-hslua-objectorientation," added 8/5/23"
,haskell-hslua-packaging," added 8/5/23"
,haskell-hslua-repl," added 8/5/23"
,haskell-hslua-typing," added 8/5/23"
,haskell-hsyaml," added 8/5/23"
,haskell-http-api-data," added 8/5/23"
,haskell-http-client," added 8/5/23"
,haskell-http-client-tls," added 8/5/23"
,haskell-http-date," added 8/5/23"
,haskell-http-media," added 8/5/23"
,haskell-http-types," added 8/5/23"
,haskell-http2," added 8/5/23"
,haskell-hunit," added 8/5/23"
,haskell-indexed-traversable," added 8/5/23"
,haskell-indexed-traversable-instances," added 8/5/23"
,haskell-integer-logarithms," added 8/5/23"
,haskell-iproute," added 8/5/23"
,haskell-ipynb," added 8/5/23"
,haskell-isocline," added 8/5/23"
,haskell-jira-wiki-markup," added 8/5/23"
,haskell-juicypixels," added 8/5/23"
,haskell-lexer," added 8/5/23"
,haskell-libyaml," added 8/5/23"
,haskell-lpeg," added 8/5/23"
,haskell-lua," added 8/5/23"
,haskell-memory," added 8/5/23"
,haskell-mime-types," added 8/5/23"
,haskell-mmorph," added 8/5/23"
,haskell-monad-control," added 8/5/23"
,haskell-mono-traversable," added 8/5/23"
,haskell-network," added 8/5/23"
,haskell-network-byte-order," added 8/5/23"
,haskell-network-uri," added 8/5/23"
,haskell-old-locale," added 8/5/23"
,haskell-old-time," added 8/5/23"
,haskell-onetuple," added 8/5/23"
,haskell-optparse-applicative," added 8/5/23"
,haskell-pandoc," added 8/5/23"
,haskell-pandoc-lua-engine," added 8/5/23"
,haskell-pandoc-lua-marshal," added 8/5/23"
,haskell-pandoc-server," added 8/5/23"
,haskell-pandoc-types," added 8/5/23"
,haskell-pem," added 8/5/23"
,haskell-pretty-show," added 8/5/23"
,haskell-primitive," added 8/5/23"
,haskell-psqueues," added 8/5/23"
,haskell-quickcheck," added 8/5/23"
,haskell-random," added 8/5/23"
,haskell-recv," added 8/5/23"
,haskell-resourcet," added 8/5/23"
,haskell-safe," added 8/5/23"
,haskell-safe-exceptions," added 8/5/23"
,haskell-scientific," added 8/5/23"
,haskell-semialign," added 8/5/23"
,haskell-semigroupoids," added 8/5/23"
,haskell-servant," added 8/5/23"
,haskell-servant-server," added 8/5/23"
,haskell-sha," added 8/5/23"
,haskell-simple-sendfile," added 8/5/23"
,haskell-singleton-bool," added 8/5/23"
,haskell-skylighting," added 8/5/23"
,haskell-skylighting-core," added 8/5/23"
,haskell-skylighting-format-ansi," added 8/5/23"
,haskell-skylighting-format-blaze-html," added 8/5/23"
,haskell-skylighting-format-context," added 8/5/23"
,haskell-skylighting-format-latex," added 8/5/23"
,haskell-socks," added 8/5/23"
,haskell-some," added 8/5/23"
,haskell-sop-core," added 8/5/23"
,haskell-split," added 8/5/23"
,haskell-splitmix," added 8/5/23"
,haskell-statevar," added 8/5/23"
,haskell-streaming-commons," added 8/5/23"
,haskell-strict," added 8/5/23"
,haskell-string-conversions," added 8/5/23"
,haskell-syb," added 8/5/23"
,haskell-tagged," added 8/5/23"
,haskell-tagsoup," added 8/5/23"
,haskell-temporary," added 8/5/23"
,haskell-texmath," added 8/5/23"
,haskell-text-conversions," added 8/5/23"
,haskell-text-icu," added 8/5/23"
,haskell-text-short," added 8/5/23"
,haskell-th-abstraction," added 8/5/23"
,haskell-th-compat," added 8/5/23"
,haskell-th-lift," added 8/5/23"
,haskell-th-lift-instances," added 8/5/23"
,haskell-these," added 8/5/23"
,haskell-time-compat," added 8/5/23"
,haskell-time-manager," added 8/5/23"
,haskell-tls," added 8/5/23"
,haskell-transformers-base," added 8/5/23"
,haskell-transformers-compat," added 8/5/23"
,haskell-type-equality," added 8/5/23"
,haskell-typed-process," added 8/5/23"
,haskell-unicode-collation," added 8/5/23"
,haskell-unicode-data," added 8/5/23"
,haskell-unicode-transforms," added 8/5/23"
,haskell-uniplate," added 8/5/23"
,haskell-unix-compat," added 8/5/23"
,haskell-unix-time," added 8/5/23"
,haskell-unliftio," added 8/5/23"
,haskell-unliftio-core," added 8/5/23"
,haskell-unordered-containers," added 8/5/23"
,haskell-utf8-string," added 8/5/23"
,haskell-uuid-types," added 8/5/23"
,haskell-vault," added 8/5/23"
,haskell-vector," added 8/5/23"
,haskell-vector-algorithms," added 8/5/23"
,haskell-vector-stream," added 8/5/23"
,haskell-wai," added 8/5/23"
,haskell-wai-app-static," added 8/5/23"
,haskell-wai-cors," added 8/5/23"
,haskell-wai-extra," added 8/5/23"
,haskell-wai-logger," added 8/5/23"
,haskell-warp," added 8/5/23"
,haskell-witherable," added 8/5/23"
,haskell-word8," added 8/5/23"
,haskell-x509," added 8/5/23"
,haskell-x509-store," added 8/5/23"
,haskell-x509-system," added 8/5/23"
,haskell-x509-validation," added 8/5/23"
,haskell-xml," added 8/5/23"
,haskell-xml-conduit," added 8/5/23"
,haskell-xml-types," added 8/5/23"
,haskell-yaml," added 8/5/23"
,haskell-zip-archive," added 8/5/23"
,haskell-zlib," added 8/5/23"
,hdparm," added 8/5/23"
,hicolor-icon-theme," added 8/5/23"
,hidapi," added 8/5/23"
,highway," added 8/5/23"
,hslua-cli," added 8/5/23"
,htop," added 8/5/23"
,http-parser," added 8/5/23"
,hugo," added 8/5/23"
,hunspell," added 8/5/23"
,hunspell-en_us," added 8/5/23"
,hwdata," added 8/5/23"
,hwloc," added 8/5/23"
,hyphen," added 8/5/23"
,iana-etc," added 8/5/23"
,ibus," added 8/5/23"
,icu," added 8/5/23"
,ifuse," added 8/5/23"
,ijs," added 8/5/23"
,imagemagick," added 8/5/23"
,imath," added 8/5/23"
,imlib2," added 8/5/23"
,iniparser," added 8/5/23"
,inkscape," added 8/5/23"
,intel-ucode," added 8/5/23"
,iproute2," added 8/5/23"
,iptables," added 8/5/23"
,iputils," added 8/5/23"
,ipython," added 8/5/23"
,iso-codes," added 8/5/23"
,isync," added 8/5/23"
,iw," added 8/5/23"
,jack2," added 8/5/23"
,jansson," added 8/5/23"
,java-environment-common," added 8/5/23"
,java-runtime-common," added 8/5/23"
,jbig2dec," added 8/5/23"
,jdk8-openjdk," added 8/5/23"
,jemalloc," added 8/5/23"
,jq," added 8/5/23"
,jre8-openjdk," added 8/5/23"
,jre8-openjdk-headless," added 8/5/23"
,js78," added 8/5/23"
,json-c," added 8/5/23"
,json-glib," added 8/5/23"
,jsoncpp," added 8/5/23"
,julia-bin," added 8/5/23"
,jupyter-nbclassic," added 8/5/23"
,jupyter-nbclient," added 8/5/23"
,jupyter-nbconvert," added 8/5/23"
,jupyter-nbformat," added 8/5/23"
,jupyter-notebook," added 8/5/23"
,jupyter-notebook-shim," added 8/5/23"
,jupyter-server," added 8/5/23"
,jupyter-server-fileid," added 8/5/23"
,jupyter-server-ydoc," added 8/5/23"
,jupyterlab," added 8/5/23"
,jupyterlab-pygments," added 8/5/23"
,kbd," added 8/5/23"
,keyutils," added 8/5/23"
,kitemviews," added 8/5/23"
,kmod," added 8/5/23"
,krb5," added 8/5/23"
,kwidgetsaddons," added 8/5/23"
,kyotocabinet," added 8/5/23"
,l-smash," added 8/5/23"
,lame," added 8/5/23"
,lapack," added 8/5/23"
,lcms2," added 8/5/23"
,ldns," added 8/5/23"
,less," added 8/5/23"
,lf-git," added 8/5/23"
,lib2geom," added 8/5/23"
,libabw," added 8/5/23"
,libaio," added 8/5/23"
,libarchive," added 8/5/23"
,libass," added 8/5/23"
,libassuan," added 8/5/23"
,libasyncns," added 8/5/23"
,libatasmart," added 8/5/23"
,libatomic_ops," added 8/5/23"
,libavc1394," added 8/5/23"
,libavif," added 8/5/23"
,libb2," added 8/5/23"
,libb64," added 8/5/23"
,libblockdev," added 8/5/23"
,libbluray," added 8/5/23"
,libbpf," added 8/5/23"
,libbs2b," added 8/5/23"
,libbytesize," added 8/5/23"
,libcamera," added 8/5/23"
,libcamera-ipa," added 8/5/23"
,libcap," added 8/5/23"
,libcap-ng," added 8/5/23"
,libcddb," added 8/5/23"
,libcdio," added 8/5/23"
,libcdio-paranoia," added 8/5/23"
,libcdr," added 8/5/23"
,libcloudproviders," added 8/5/23"
,libcolord," added 8/5/23"
,libcups," added 8/5/23"
,libdaemon," added 8/5/23"
,libdatrie," added 8/5/23"
,libde265," added 8/5/23"
,libdeflate," added 8/5/23"
,libdrm," added 8/5/23"
,libdvdnav," added 8/5/23"
,libdvdread," added 8/5/23"
,libe-book," added 8/5/23"
,libedit," added 8/5/23"
,libelf," added 8/5/23"
,libepoxy," added 8/5/23"
,libepubgen," added 8/5/23"
,libetonyek," added 8/5/23"
,libev," added 8/5/23"
,libevdev," added 8/5/23"
,libevent," added 8/5/23"
,libexif," added 8/5/23"
,libexttextcat," added 8/5/23"
,libfdk-aac," added 8/5/23"
,libffi," added 8/5/23"
,libfontenc," added 8/5/23"
,libfreeaptx," added 8/5/23"
,libfreehand," added 8/5/23"
,libgcrypt," added 8/5/23"
,libgirepository," added 8/5/23"
,libgit2," added 8/5/23"
,libglvnd," added 8/5/23"
,libgpg-error," added 8/5/23"
,libgphoto2," added 8/5/23"
,libgtop," added 8/5/23"
,libgudev," added 8/5/23"
,libhangul," added 8/5/23"
,libheif," added 8/5/23"
,libibus," added 8/5/23"
,libice," added 8/5/23"
,libidn," added 8/5/23"
,libidn2," added 8/5/23"
,libiec61883," added 8/5/23"
,libimagequant," added 8/5/23"
,libimobiledevice," added 8/5/23"
,libimobiledevice-glue-git," added 8/5/23"
,libinih," added 8/5/23"
,libinput," added 8/5/23"
,libirecovery-git," added 8/5/23"
,libisl," added 8/5/23"
,libixion," added 8/5/23"
,libjpeg-turbo," added 8/5/23"
,libjxl," added 8/5/23"
,libksba," added 8/5/23"
,liblangtag," added 8/5/23"
,liblc3," added 8/5/23"
,libldac," added 8/5/23"
,libldap," added 8/5/23"
,libldap24," added 8/5/23"
,liblqr," added 8/5/23"
,libluv," added 8/5/23"
,libmaxminddb," added 8/5/23"
,libmediainfo," added 8/5/23"
,libmfx," added 8/5/23"
,libmm-glib," added 8/5/23"
,libmms," added 8/5/23"
,libmnl," added 8/5/23"
,libmodplug," added 8/5/23"
,libmpc," added 8/5/23"
,libmpdclient," added 8/5/23"
,libmspub," added 8/5/23"
,libmtp," added 8/5/23"
,libmupdf," added 8/5/23"
,libmwaw," added 8/5/23"
,libmysofa," added 8/5/23"
,libnatpmp," added 8/5/23"
,libndp," added 8/5/23"
,libnetfilter_conntrack," added 8/5/23"
,libnewt," added 8/5/23"
,libnfnetlink," added 8/5/23"
,libnftnl," added 8/5/23"
,libnghttp2," added 8/5/23"
,libnl," added 8/5/23"
,libnm," added 8/5/23"
,libnotify," added 8/5/23"
,libnsl," added 8/5/23"
,libnumbertext," added 8/5/23"
,libodfgen," added 8/5/23"
,libogg," added 8/5/23"
,libomxil-bellagio," added 8/5/23"
,libopenmpt," added 8/5/23"
,liborcus," added 8/5/23"
,libp11-kit," added 8/5/23"
,libpagemaker," added 8/5/23"
,libpaper," added 8/5/23"
,libpcap," added 8/5/23"
,libpciaccess," added 8/5/23"
,libpgm," added 8/5/23"
,libpipeline," added 8/5/23"
,libpipewire," added 8/5/23"
,libplacebo," added 8/5/23"
,libplist," added 8/5/23"
,libpng," added 8/5/23"
,libproxy," added 8/5/23"
,libpsl," added 8/5/23"
,libpulse," added 8/5/23"
,libqxp," added 8/5/23"
,libraqm," added 8/5/23"
,libraw1394," added 8/5/23"
,libreoffice-still," added 8/5/23"
,librevenge," added 8/5/23"
,librsvg," added 8/5/23"
,libsamplerate," added 8/5/23"
,libsasl," added 8/5/23"
,libseccomp," added 8/5/23"
,libsecret," added 8/5/23"
,libsigc++," added 8/5/23"
,libsigsegv," added 8/5/23"
,libsm," added 8/5/23"
,libsndfile," added 8/5/23"
,libsodium," added 8/5/23"
,libsoup," added 8/5/23"
,libsoup3," added 8/5/23"
,libsoxr," added 8/5/23"
,libssh," added 8/5/23"
,libssh2," added 8/5/23"
,libstaroffice," added 8/5/23"
,libstemmer," added 8/5/23"
,libsynctex," added 8/5/23"
,libsysprof-capture," added 8/5/23"
,libtasn1," added 8/5/23"
,libteam," added 8/5/23"
,libtermkey," added 8/5/23"
,libthai," added 8/5/23"
,libtheora," added 8/5/23"
,libtiff," added 8/5/23"
,libtirpc," added 8/5/23"
,libtommath," added 8/5/23"
,libtool," added 8/5/23"
,libtraceevent," added 8/5/23"
,libtracefs," added 8/5/23"
,libtvcontrol," added 8/5/23"
,libunistring," added 8/5/23"
,libunwind," added 8/5/23"
,liburcu," added 8/5/23"
,libusb," added 8/5/23"
,libusbmuxd," added 8/5/23"
,libutempter," added 8/5/23"
,libuv," added 8/5/23"
,libva," added 8/5/23"
,libvdpau," added 8/5/23"
,libverto," added 8/5/23"
,libvisio," added 8/5/23"
,libvorbis," added 8/5/23"
,libvpx," added 8/5/23"
,libvterm," added 8/5/23"
,libvterm01," added 8/5/23"
,libwacom," added 8/5/23"
,libwebp," added 8/5/23"
,libwireplumber," added 8/5/23"
,libwpd," added 8/5/23"
,libwpg," added 8/5/23"
,libwps," added 8/5/23"
,libx11," added 8/5/23"
,libxau," added 8/5/23"
,libxaw," added 8/5/23"
,libxcb," added 8/5/23"
,libxcomposite," added 8/5/23"
,libxcrypt," added 8/5/23"
,libxcrypt-compat," added 8/5/23"
,libxcursor," added 8/5/23"
,libxcvt," added 8/5/23"
,libxdamage," added 8/5/23"
,libxdg-basedir," added 8/5/23"
,libxdmcp," added 8/5/23"
,libxext," added 8/5/23"
,libxfce4ui," added 8/5/23"
,libxfce4util," added 8/5/23"
,libxfixes," added 8/5/23"
,libxfont2," added 8/5/23"
,libxft-bgra-git," added 8/5/23"
,libxi," added 8/5/23"
,libxinerama," added 8/5/23"
,libxkbcommon," added 8/5/23"
,libxkbcommon-x11," added 8/5/23"
,libxkbfile," added 8/5/23"
,libxml2," added 8/5/23"
,libxmu," added 8/5/23"
,libxpm," added 8/5/23"
,libxpresent," added 8/5/23"
,libxrandr," added 8/5/23"
,libxrender," added 8/5/23"
,libxres," added 8/5/23"
,libxshmfence," added 8/5/23"
,libxslt," added 8/5/23"
,libxss," added 8/5/23"
,libxt," added 8/5/23"
,libxtst," added 8/5/23"
,libxv," added 8/5/23"
,libxvmc," added 8/5/23"
,libxxf86vm," added 8/5/23"
,libyaml," added 8/5/23"
,libyuv," added 8/5/23"
,libzen," added 8/5/23"
,libzip," added 8/5/23"
,libzmf," added 8/5/23"
